season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2007,ARZ,DE,,92,RES,Bert Berry,Bert,Berry,1975-08-15,75,264,,00-0001176,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/el1qocj9wnctldzgnjlz",,10,REG,A01,Bert,BER460580,,32004245-5246-0580-29ff-02a4f4deff74,1997,1997,IND,86
2007,TB,P,,9,ACT,Josh Bidwell,Joshua,Bidwell,1976-03-13,75,220,,00-0001231,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k7icadkhemrtt1dxe07x",,18,WC,A01,Josh,BID711929,,32004249-4471-1929-ff9d-b0f0b0eaf2f8,1999,1999,GB,133
2007,SD,LS,,50,ACT,David Binn,David,Binn,1972-02-06,75,223,,00-0001255,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcviqx4jjjh4lgwyyndp",,20,CON,A01,David,BIN713776,,32004249-4e71-3776-b6ac-6d094eb67190,1994,1994,,
2007,MIN,C,,78,ACT,Matt Birk,Matt,Birk,1976-07-23,76,309,,00-0001263,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/syn6ymqyg85njramfyq3",,17,REG,A01,Matt,BIR643699,,32004249-5264-3699-ceca-a4c2ac765bda,1998,1998,MIN,173
2007,DEN,CB,,32,ACT,Dre' Bly,Donald,Bly,1977-05-22,70,188,,00-0001388,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jdsukqvy9fd9upgypnuh",,17,REG,A01,Dre',BLY069214,,3200424c-5906-9214-bae7-5b0bacddd7e4,1999,1999,SL,41
2007,MIA,WR,,86,ACT,Marty Booker,Marty,Booker,1976-07-31,72,210,,00-0001477,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/thzjn3ut9gpwnac9zrwx",,17,REG,A01,Marty,BOO033965,,3200424f-4f03-3965-c6e4-7a66e7da27ec,1999,1999,CHI,78
2007,TB,WR,,89,CUT,David Boston,David,Boston,1978-08-19,74,228,,00-0001532,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/efvdgyy0lnmdok7k2us0",,1,REG,A01,David,BOS674793,,3200424f-5367-4793-6f50-b41221eb8037,1999,1999,ARZ,8
2007,SL,QB,,4,CUT,Todd Bouman,Todd,Bouman,1972-08-01,74,226,,00-0001545,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tm23xzlohyhulzy9pg69",,14,REG,A01,Todd,BOU357325,,3200424f-5535-7325-ae6b-87535418b5c6,1997,1997,,
2007,JAX,QB,,4,CUT,Todd Bouman,Todd,Bouman,1972-08-01,74,226,,00-0001545,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tm23xzlohyhulzy9pg69",,11,REG,I02,Todd,BOU357325,,3200424f-5535-7325-ae6b-87535418b5c6,1997,1997,,
2007,NYJ,OLB,,96,ACT,David Bowens,David,Bowens,1977-07-03,75,265,,00-0001563,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iextaifd6jvbebrxydjp",,17,REG,A01,David,BOW130962,,3200424f-5713-0962-dbff-4624a7d64c95,1999,1999,DEN,158
2007,NE,TE,,88,ACT,Kyle Brady,Kyle,Brady,1972-01-14,78,280,,00-0001661,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cbfkt8kpdkyq9yikpooi",,21,SB,A01,Kyle,BRA347797,,32004252-4134-7797-55ea-8fde8dae33ff,1995,1995,NYJ,9
2007,ATL,MLB,,56,ACT,Keith Brooking,Howard,Brooking,1975-10-30,74,243,,00-0001820,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mpkiqtbe16s0palpf99k",,17,REG,A01,Keith,BRO110262,,32004252-4f11-0262-5c9b-155d9afa1814,1998,1998,ATL,12
2007,TB,OLB,,55,ACT,Derrick Brooks,Derrick,Brooks,1973-04-18,72,235,,00-0001833,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z58atlnvyqyfobqrv1ca",,18,WC,A01,Derrick,BRO122327,,32004252-4f12-2327-7c06-b590114515c5,1995,1995,TB,28
2007,NE,OLB,,98,CUT,Chad Brown,Chad,Brown,1970-07-12,74,245,,00-0001887,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/psp1kqxbdogqownj8edh",,16,REG,I01,Chad,BRO301461,,32004252-4f30-1461-ca6b-f897c9b1de48,1993,1993,PIT,44
2007,SL,CB,,34,ACT,Fakhir Brown,Fakhir,Brown,1977-09-21,71,195,,00-0001934,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xprrin9ydmpj97mh4dyk",,17,REG,A01,Fakhir,BRO431077,,32004252-4f43-1077-8c2d-c2d6afe76500,1999,1999,,
2007,HST,K,,3,ACT,Kris Brown,Kristopher,Brown,1976-12-23,71,208,,00-0001980,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/klxeixm8x8hcbs42ql5a",,17,REG,A01,Kris,BRO521985,,32004252-4f52-1985-bb20-5663ab81e524,1999,1999,PIT,228
2007,CHI,G,,74,RES,Ruben Brown,Ruben,Brown,1972-02-13,75,300,,00-0002041,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tufwgbocyimybirmyyzf",,9,REG,A01,Ruben,BRO668610,,32004252-4f66-8610-2791-57e9a249c48c,1995,1995,BUF,14
2007,NE,WR,,80,ACT,Troy Brown,Troy,Brown,1971-07-02,70,196,,00-0002068,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tejmydwbvuqydw2w3dd2",,21,SB,I01,Troy,BRO741336,,32004252-4f74-1336-ba23-293b03f398d8,1993,1993,NE,198
2007,SL,WR,,80,ACT,Isaac Bruce,Isaac,Bruce,1972-11-10,72,188,,00-0002099,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/txgl2lvmyu3m28cltnib",,17,REG,A01,Isaac,BRU085284,,32004252-5508-5284-f394-5e776b7d5d81,1994,1994,LA,33
2007,HST,TE,,87,ACT,Mark Bruener,Mark,Bruener,1972-09-16,76,256,,00-0002102,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hmywleip3n6bwfgvatsi",,17,REG,A01,Mark,BRU237765,,32004252-5523-7765-b54b-0d1223614bca,1995,1995,PIT,27
2007,WAS,QB,,8,ACT,Mark Brunell,Mark,Brunell,1970-09-17,73,217,,00-0002110,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p91vbvdb7ik4fcjuo7ym",,18,WC,A01,Mark,BRU575022,,32004252-5557-5022-ece0-cf2096eec69e,1993,1993,GB,118
2007,NE,ILB,,54,ACT,Tedy Bruschi,Tedy,Bruschi,1973-06-09,73,247,,00-0002123,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iqrno1bbzaixympp1a1v",,21,SB,A01,Tedy,BRU812794,,32004252-5581-2794-ff39-05644c21d58f,1996,1996,NE,86
2007,DET,CB,,25,ACT,Fernando Bryant,Fernando,Bryant,1977-03-26,71,184,,00-0002138,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qunx7qxyqpxt7qzmsqp6",,17,REG,A01,Fernando,BRY358653,,32004252-5935-8653-7afa-5fc13599ef2f,1999,1999,JAX,26
2007,DET,TE,,89,RES,Dan Campbell,Daniel,Campbell,1976-04-13,77,265,,00-0002565,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mjqfip0ythczsmgwwqze",,2,REG,A01,Dan,CAM220201,,32004341-4d22-0201-4281-54eac2abfb40,1999,1999,NYG,79
2007,NO,TE,,80,RES,Mark Campbell,Mark,Campbell,1975-12-06,78,260,,00-0002586,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ptumwqyseaaoawuvd9p4",,1,REG,I01,Mark,CAM504768,,32004341-4d50-4768-ec5f-a7b1c64834cd,1999,1999,,
2007,JAX,K,,1,ACT,John Carney,John,Carney,1964-04-20,71,185,,00-0002655,,,,,,,,,20,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vayogcgph7k6j3uhza5d",,11,REG,I01,John,CAR243867,,32004341-5224-3867-1223-418051f03b99,1987,1987,,
2007,KC,K,,5,ACT,John Carney,John,Carney,1964-04-20,71,185,,00-0002655,,,,,,,,,20,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vayogcgph7k6j3uhza5d",,17,REG,A01,John,CAR243867,,32004341-5224-3867-1223-418051f03b99,1987,1987,,
2007,TB,DE,,93,ACT,Kevin Carter,Kevin,Carter,1973-09-21,78,305,,00-0002742,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dq4xapoi6auskplt1qrv",,18,WC,A01,Kevin,CAR687111,,32004341-5268-7111-a398-bc71828f6b4f,1995,1995,SL,6
2007,NYJ,OLB,,58,ACT,Matt Chatham,Matt,Chatham,1977-06-28,76,250,,00-0002909,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wvxvyo70xgxzfqcd7rp5",,17,REG,A01,Matt,CHA719159,,32004348-4171-9159-a5a7-68e49d63216d,1999,1999,,
2007,SL,SS,,25,ACT,Corey Chavous,Corey,Chavous,1976-01-05,73,208,,00-0002919,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/scj5o61uhyqjkc19wt4k",,17,REG,A01,Corey,CHA820452,,32004348-4182-0452-1f68-e2e03a262f41,1998,1998,ARZ,33
2007,CHI,TE,,88,ACT,Desmond Clark,Desmond,Clark,1977-04-20,75,249,,00-0003035,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g9lsnunxeacqezoeq7pk",,17,REG,A01,Desmond,CLA258726,,3200434c-4125-8726-589f-5947dcb0262a,1999,1999,DEN,179
2007,NYJ,T,,68,ACT,Anthony Clement,Anthony,Clement,1976-04-10,80,320,,00-0003105,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zkgotx266qrgygs29qot",,17,REG,A01,Anthony,CLE167954,,3200434c-4516-7954-e59d-47b151374023,1998,1998,ARZ,36
2007,ATL,DT,,75,RES,Roderick Coleman,Roderick,Coleman,1976-08-16,74,297,,00-0003239,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fxowpouclwhx8zerf2ep",,11,REG,A01,Roderick,COL333003,,3200434f-4c33-3003-e7e0-91d826e43650,1999,1999,OAK,153
2007,TEN,QB,,5,ACT,Kerry Collins,Kerry,Collins,1972-12-30,77,245,,00-0003292,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jse9o88qf7weuicc1wwz",,18,WC,A01,Kerry,COL620367,,3200434f-4c62-0367-e9e9-6254a27bef4a,1995,1995,CAR,5
2007,WAS,QB,,15,ACT,Todd Collins,Todd,Collins,1971-11-05,76,225,,00-0003315,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vggpgpp9tb4aoeejafze",,18,WC,A01,Todd,COL694708,,3200434f-4c69-4708-19c1-34a28c98e006,1995,1995,BUF,45
2007,NE,OLB,,59,RES,Rosevelt Colvin,Rosevelt,Colvin,1977-09-05,75,250,,00-0003338,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kxcizznpvmun30gk56qs",,12,REG,A01,Rosevelt,COL815193,,3200434f-4c81-5193-50c6-9b584da177e4,1999,1999,CHI,111
2007,JAX,CB,,21,ACT,Terry Cousin,Terry,Cousin,1975-04-11,69,188,,00-0003547,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jstthwwo7huweibinwre",,19,DIV,A01,Terry,COU610935,,3200434f-5561-0935-12ab-0a0e0dbcc500,1997,1997,,
2007,NO,CB,,21,ACT,Jason Craft,Jason,Craft,1976-02-13,70,187,,00-0003597,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aoj4pssk8pmmqx8w7mns",,17,REG,A01,Jason,CRA155133,,32004352-4115-5133-5aa5-a4a01f0ccb47,1999,1999,JAX,160
2007,TB,FB,,30,CUT,Zack Crockett,Zachary,Crockett,1972-12-02,74,240,,00-0003663,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sf1zvlx6pabbv5gtqece",,15,REG,I01,Zack,CRO076373,,32004352-4f07-6373-c771-498ee26e4abf,1995,1995,IND,79
2007,DAL,FB,,32,CUT,Zack Crockett,Zachary,Crockett,1972-12-02,74,240,,00-0003663,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sf1zvlx6pabbv5gtqece",,16,REG,I01,Zack,CRO076373,,32004352-4f07-6373-c771-498ee26e4abf,1995,1995,IND,79
2007,OAK,QB,,8,RES,Daunte Culpepper,Daunte,Culpepper,1977-01-28,76,260,,00-0003739,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vmvl5xojgtwm6jadhy7l",,16,REG,I01,Daunte,CUL586056,,32004355-4c58-6056-a454-cb19b95e8f55,1999,1999,MIN,11
2007,WAS,DE,,93,ACT,Phillip Daniels,Phillip,Daniels,1973-03-04,76,276,,00-0003874,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/djld5mlcobtb0bir5snd",,18,WC,A01,Phillip,DAN576866,,32004441-4e57-6866-1904-975edd71bea6,1996,1996,SEA,99
2007,SEA,DT,,91,RES,Chuck Darby,Chatric,Darby,1975-10-22,72,297,,00-0003888,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vtjgb4x6zwx2nxaynqdd",,6,REG,A01,Chuck,DAR122891,,32004441-5212-2891-da22-f86ef7da25e1,1998,1998,,
2007,MIA,SS,,40,CUT,Donovin Darius,Donovin,Darius,1975-08-12,73,225,,00-0003897,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjawldaxn0jnskxnytcs",,6,REG,A01,Donovin,DAR336714,,32004441-5233-6714-b5e4-8ad12b5b8651,1998,1998,JAX,25
2007,GB,LS,,60,ACT,Rob Davis,Robert,Davis,1968-12-10,75,284,,00-0004038,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u7e2pgwxr9cydpubme5m",,20,CON,A01,Rob,DAV692085,,32004441-5669-2085-e0c8-958d3f69bbe0,1993,1993,,
2007,NYG,DT,,99,ACT,Russell Davis,Russell,Davis,1975-03-28,76,306,,00-0004046,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a4rjcl7iqfgiyfcqzvfk",,21,SB,I01,Russell,DAV722013,,32004441-5672-2013-5d52-50d6fc2061da,1999,1999,CHI,48
2007,PHI,FS,,20,ACT,Brian Dawkins,Brian,Dawkins,1973-10-13,72,210,,00-0004073,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uer4z98pum4pancbyvnw",,17,REG,I01,Brian,DAW041411,,32004441-5704-1411-7a01-b4072a96b22c,1996,1996,PHI,61
2007,CLV,K,,4,ACT,Phil Dawson,Philip,Dawson,1975-01-23,71,205,Texas,00-0004091,1440,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269,994,422,,5714,229,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860,32004441-5770-5989-ac23-bf6cdafcb988,1998,1998,,
2007,NYJ,LS,,85,ACT,James Dearth,James,Dearth,1976-01-22,76,270,,00-0004112,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ouhiniy7wlpevye7vaue",,17,REG,A01,James,DEA741611,,32004445-4174-1611-5c8a-19fb6b3074b7,1999,1999,CLV,191
2007,CAR,QB,,17,RES,Jake Delhomme,Jake,Delhomme,1975-01-10,74,215,,00-0004161,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k5ovzylfya7c86x91067",,5,REG,I02,Jake,DEL367367,,32004445-4c36-7367-f75e-2e1555e1a440,1997,1997,,
2007,DET,DE,,95,ACT,Jared DeVries,Jared,DeVries,1976-06-11,76,275,,00-0004242,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqlqkwtpikbualywtjpa",,17,REG,A01,Jared,DEV741307,,32004445-5674-1307-9419-5340a1bcfdbd,1999,1999,DET,70
2007,SF,QB,,12,ACT,Trent Dilfer,Trent,Dilfer,1972-03-13,76,247,,00-0004293,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ssbi0ektdltubjtxsbvv",,17,REG,I01,Trent,DIL049692,,32004449-4c04-9692-11e1-88ec1642adf7,1994,1994,TB,6
2007,SF,DE,,94,ACT,Marques Douglas,Marques,Douglas,1977-03-15,74,292,,00-0004472,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fik4btinfyl074kc3u7q",,17,REG,A01,Marques,DOU543962,,3200444f-5554-3962-a6a8-6806079e77ba,1999,1999,,
2007,SL,OLB,,52,ACT,Chris Draft,Christopher,Draft,1976-02-26,71,236,,00-0004505,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hkqlzjisunrkmfcq1ysq",,17,REG,A01,Chris,DRA080751,,32004452-4108-0751-55d2-dc750d1da3ca,1998,1998,CHI,157
2007,GB,WR,,80,ACT,Donald Driver,Donald,Driver,1975-02-02,72,190,,00-0004541,1966,25b678cc-e81b-46b2-8fd7-34d78441a922,,1450,533,DrivDo00,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/meghf1spsre8cqmyobo7",,20,CON,A01,Donald,DRI611685,,32004452-4961-1685-1588-a156d3654c00,1999,1999,GB,213
2007,KC,TE,,89,ACT,Jason Dunn,Jason,Dunn,1973-11-15,78,274,,00-0004637,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j2iitu0tnvtbg4ivprpj",,17,REG,A01,Jason,DUN557353,,32004455-4e55-7353-b4b2-3513a7386c4a,1996,1996,PHI,54
2007,ATL,RB,,28,ACT,Warrick Dunn,Warrick,Dunn,1975-01-05,69,187,,00-0004640,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g5mn0hydlozzo7cuasg8",,17,REG,A01,Warrick,DUN705495,,32004455-4e70-5495-f3e4-6dc7c4e368a2,1997,1997,TB,12
2007,OAK,WR,,17,ACT,Tim Dwight,Tim,Dwight,1975-07-13,68,180,,00-0004673,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vbytsq96swkztalryyul",,17,REG,I01,Tim,DWI237309,,32004457-4923-7309-7145-3ca86cf62fa2,1998,1998,ATL,114
2007,KC,OLB,,59,ACT,Donnie Edwards,Donnie,Edwards,1973-04-06,74,224,,00-0004757,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ni3stsjft3xjzyz0d59e",,17,REG,A01,Donnie,EDW327120,,32004544-5732-7120-bca1-8c3aece77242,1996,1996,KC,98
2007,DEN,K,,1,ACT,Jason Elam,Jason,Elam,1970-03-08,71,195,,00-0004811,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/psqpnvgzgpxykmmuwoq5",,17,REG,A01,Jason,ELA548409,,3200454c-4154-8409-2b92-de20a874147f,1993,1993,DEN,70
2007,DAL,OLB,,98,ACT,Greg Ellis,Greg,Ellis,1975-08-14,78,265,,00-0004851,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ifcvhyfnkphnppffcqby",,19,DIV,A01,Greg,ELL500479,,3200454c-4c50-0479-f38a-988bea0ccc9c,1998,1998,DAL,8
2007,SEA,WR,,84,ACT,Bobby Engram,Bobby,Engram,1973-01-07,70,192,,00-0004915,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u18aupjv3gtlivfcnkyv",,19,DIV,A01,Bobby,ENG735656,,3200454e-4773-5656-5602-f65399daac35,1996,1996,CHI,52
2007,WAS,T,,69,ACT,Jason Fabini,Jason,Fabini,1974-08-25,79,309,,00-0005031,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/syazo6a82rgimuiojdfx",,18,WC,A01,Jason,FAB296636,,32004641-4229-6636-c323-85d7fb3049e5,1998,1998,NYJ,111
2007,PIT,G,,66,ACT,Alan Faneca,Alan,Faneca,1976-12-07,77,307,,00-0005058,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/meyhtfvgyfanktcjjqjf",,18,WC,A01,Alan,FAN049971,,32004641-4e04-9971-c500-ee40b2060be3,1998,1998,PIT,26
2007,PIT,ILB,,51,ACT,James Farrior,James,Farrior,1975-01-06,74,243,,00-0005082,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e1snpx7u4x2unff9vosl",,18,WC,A01,James,FAR709765,,32004641-5270-9765-9ecd-f536c6ba8abe,1997,1997,NYJ,8
2007,NE,RB,,33,ACT,Kevin Faulk,Kevin,Faulk,1976-06-05,68,202,,00-0005091,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tn3w20ec8x9oacqg51p5",,21,SB,A01,Kevin,FAU126264,,32004641-5512-6264-ad42-2b0145d4969d,1999,1999,NE,46
